setting,rep,gamma,method,changept
"Transition: Homo
Reward: PC",1,0.9,Normalised,50
"Transition: Homo
Reward: PC",1,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",1,0.9,Integral,50
"Transition: Homo
Reward: PC",2,0.9,Normalised,50
"Transition: Homo
Reward: PC",2,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",2,0.9,Integral,50
"Transition: Homo
Reward: PC",3,0.9,Normalised,50
"Transition: Homo
Reward: PC",3,0.9,Unnormalised,75
"Transition: Homo
Reward: PC",3,0.9,Integral,75
"Transition: Homo
Reward: PC",4,0.9,Normalised,50
"Transition: Homo
Reward: PC",4,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",4,0.9,Integral,50
"Transition: Homo
Reward: PC",5,0.9,Normalised,50
"Transition: Homo
Reward: PC",5,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",5,0.9,Integral,50
"Transition: Homo
Reward: PC",6,0.9,Normalised,50
"Transition: Homo
Reward: PC",6,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",6,0.9,Integral,50
"Transition: Homo
Reward: PC",7,0.9,Normalised,50
"Transition: Homo
Reward: PC",7,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",7,0.9,Integral,50
"Transition: Homo
Reward: PC",8,0.9,Normalised,50
"Transition: Homo
Reward: PC",8,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",8,0.9,Integral,50
"Transition: Homo
Reward: PC",9,0.9,Normalised,50
"Transition: Homo
Reward: PC",9,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",9,0.9,Integral,50
"Transition: Homo
Reward: PC",10,0.9,Normalised,50
"Transition: Homo
Reward: PC",10,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",10,0.9,Integral,50
"Transition: Homo
Reward: PC",11,0.9,Normalised,50
"Transition: Homo
Reward: PC",11,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",11,0.9,Integral,50
"Transition: Homo
Reward: PC",12,0.9,Normalised,50
"Transition: Homo
Reward: PC",12,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",12,0.9,Integral,50
"Transition: Homo
Reward: PC",13,0.9,Normalised,50
"Transition: Homo
Reward: PC",13,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",13,0.9,Integral,50
"Transition: Homo
Reward: PC",14,0.9,Normalised,50
"Transition: Homo
Reward: PC",14,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",14,0.9,Integral,50
"Transition: Homo
Reward: PC",15,0.9,Normalised,50
"Transition: Homo
Reward: PC",15,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",15,0.9,Integral,50
"Transition: Homo
Reward: PC",16,0.9,Normalised,50
"Transition: Homo
Reward: PC",16,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",16,0.9,Integral,50
"Transition: Homo
Reward: PC",17,0.9,Normalised,50
"Transition: Homo
Reward: PC",17,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",17,0.9,Integral,50
"Transition: Homo
Reward: PC",18,0.9,Normalised,50
"Transition: Homo
Reward: PC",18,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",18,0.9,Integral,50
"Transition: Homo
Reward: PC",19,0.9,Normalised,50
"Transition: Homo
Reward: PC",19,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",19,0.9,Integral,50
"Transition: Homo
Reward: PC",20,0.9,Normalised,50
"Transition: Homo
Reward: PC",20,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",20,0.9,Integral,50
"Transition: Homo
Reward: PC",21,0.9,Normalised,50
"Transition: Homo
Reward: PC",21,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",21,0.9,Integral,50
"Transition: Homo
Reward: PC",22,0.9,Normalised,50
"Transition: Homo
Reward: PC",22,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",22,0.9,Integral,50
"Transition: Homo
Reward: PC",23,0.9,Normalised,50
"Transition: Homo
Reward: PC",23,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",23,0.9,Integral,50
"Transition: Homo
Reward: PC",24,0.9,Normalised,50
"Transition: Homo
Reward: PC",24,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",24,0.9,Integral,50
"Transition: Homo
Reward: PC",25,0.9,Normalised,50
"Transition: Homo
Reward: PC",25,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",25,0.9,Integral,50
"Transition: Homo
Reward: PC",26,0.9,Normalised,50
"Transition: Homo
Reward: PC",26,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",26,0.9,Integral,50
"Transition: Homo
Reward: PC",27,0.9,Normalised,50
"Transition: Homo
Reward: PC",27,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",27,0.9,Integral,50
"Transition: Homo
Reward: PC",28,0.9,Normalised,50
"Transition: Homo
Reward: PC",28,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",28,0.9,Integral,50
"Transition: Homo
Reward: PC",29,0.9,Normalised,50
"Transition: Homo
Reward: PC",29,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",29,0.9,Integral,50
"Transition: Homo
Reward: PC",30,0.9,Normalised,50
"Transition: Homo
Reward: PC",30,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",30,0.9,Integral,50
"Transition: Homo
Reward: PC",31,0.9,Normalised,50
"Transition: Homo
Reward: PC",31,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",31,0.9,Integral,50
"Transition: Homo
Reward: PC",32,0.9,Normalised,50
"Transition: Homo
Reward: PC",32,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",32,0.9,Integral,50
"Transition: Homo
Reward: PC",33,0.9,Normalised,50
"Transition: Homo
Reward: PC",33,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",33,0.9,Integral,50
"Transition: Homo
Reward: PC",34,0.9,Normalised,50
"Transition: Homo
Reward: PC",34,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",34,0.9,Integral,50
"Transition: Homo
Reward: PC",35,0.9,Normalised,50
"Transition: Homo
Reward: PC",35,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",35,0.9,Integral,50
"Transition: Homo
Reward: PC",36,0.9,Normalised,50
"Transition: Homo
Reward: PC",36,0.9,Unnormalised,50
"Transition: Homo
Reward: PC",36,0.9,Integral,50
"Transition: Homo
Reward: PC",37,0.9,Normalised,70
"Transition: Homo
Reward: PC",37,0.9,Unnormalised,70
