Setting,gamma,variable,value
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.993078912254922
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.979054349190971
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.981444310382738
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.999379268899418
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.997448692914251
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.027178605575745
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.0683627370676385
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.153096174317991
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.066669008420959
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.894460510624598
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.080383858258632
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.062921726118274
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.002405875905156
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.077445883524087
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.079354297165841
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.91248990785385
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.0511342057159485
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.170758826951282
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.999621894372883
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.036355492832119
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.107334682462986
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.058066757876368
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.830660799626012
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.108406195193412
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.05814555258657
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.988438142885451
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.948374867213852
"Transition: Hm
Reward: PC",0.9,proposed - overall,4.9999904779120445
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.102180995125998
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.002325173210803
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.123358143072108
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.114370751156947
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.056610059667969
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.015987452331858
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.114156801483022
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.112637036728806
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.0253226412631955
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.046252563531327
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.095870542657209
"Transition: Hm
Reward: PC",0.9,proposed - overall,5.00574903049306
