kappa,reject,method,gamma,setting
25,0.0,Normalised,0.9,"Transition: Homo
Reward: PC"
30,0.0,Normalised,0.9,"Transition: Homo
Reward: PC"
35,0.0,Normalised,0.9,"Transition: Homo
Reward: PC"
40,0.0,Normalised,0.9,"Transition: Homo
Reward: PC"
45,0.0,Normalised,0.9,"Transition: Homo
Reward: PC"
50,0.0,Normalised,0.9,"Transition: Homo
Reward: PC"
55,1.0,Normalised,0.9,"Transition: Homo
Reward: PC"
60,1.0,Normalised,0.9,"Transition: Homo
Reward: PC"
65,1.0,Normalised,0.9,"Transition: Homo
Reward: PC"
70,1.0,Normalised,0.9,"Transition: Homo
Reward: PC"
75,1.0,Normalised,0.9,"Transition: Homo
Reward: PC"
25,0.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
30,0.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
35,0.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
40,0.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
45,0.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
50,0.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
55,1.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
60,1.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
65,1.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
70,1.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
75,1.0,Unnormalised,0.9,"Transition: Homo
Reward: PC"
25,0.0,Integral,0.9,"Transition: Homo
Reward: PC"
30,0.0,Integral,0.9,"Transition: Homo
Reward: PC"
35,0.0,Integral,0.9,"Transition: Homo
Reward: PC"
40,0.0,Integral,0.9,"Transition: Homo
Reward: PC"
45,0.0,Integral,0.9,"Transition: Homo
Reward: PC"
50,0.0,Integral,0.9,"Transition: Homo
Reward: PC"
55,1.0,Integral,0.9,"Transition: Homo
Reward: PC"
60,1.0,Integral,0.9,"Transition: Homo
Reward: PC"
65,1.0,Integral,0.9,"Transition: Homo
Reward: PC"
70,1.0,Integral,0.9,"Transition: Homo
Reward: PC"
75,1.0,Integral,0.9,"Transition: Homo
Reward: PC"
